CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L15140MH1986PLC038536,RUCHI SOYA INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,06-01-86,Maharashtra,9530500000,5091682014,15140,Manufacture of food products and beverages," RUCHI HOUSE, ROYAL PALMS, SURVEY NO. 16 AAREY MILK COLONY,NEAR MAYUR NAGAR,GOREGAON (EAST)    Mumbai ,   Unclassified MH 400065",RoC-Mumbai,info@ruchisoya.com,31-03-20,31-03-20
L15140MH1988PLC049208,MARICO LIMITED,Active,Public,Company limited by Shares,Non-govt company,13-10-88,Maharashtra,2950000000,1291325538,15140,Manufacture of food products and beverages,"MARICO LIMITED, 7th FLOOR,GRANDE PALLADIUM, 175,CST ROAD,KALINA,SANTACRUZ (EAST)    MUMBAI , Mumbai City Unclassified MH 400098",RoC-Mumbai,investor@marico.com,31-03-20,31-03-20
L15140MH1992PLC068946,AVI INDUSTRIES LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,09-10-92,Maharashtra,115000000,10997800,15140,Manufacture of food products and beverages,"102, MERONAI ,NEAR PALM GROVE HOTEL, JUHU TARA ROAD ,JUHU,    MUMBAI ,   Unclassified MH 400049",RoC-Mumbai,NA,NA,NA
L15140MH1993PLC073460,STANROSE MAFATLAL LUBECHEM LIMITED,Under liquidation,Public,Company limited by Shares,Non-govt company,13-08-93,Maharashtra,100000000,25496000,15140,Manufacture of food products and beverages,"59, THE ARCADE, FIRST FLOOR, WORLD TRADE CENTRE, CUFFE PARADE, COLABA,    MUMBAI ,   Unclassified MH 400005",RoC-Mumbai,anruvi@rediffmail.com,31-03-06,31-03-06
L15141MH1980PLC022912,OLYMPIC OIL INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,29-07-80,Maharashtra,40020000,28540000,15141,Manufacture of food products and beverages,"709, C Wing, ONE BKC, Near Indian Oil Petrol Pump, G Block, Bandra-Kurla Complex, Bandra (East)    MUMBAI , Mumbai City Unclassified MH 400051",RoC-Mumbai,olympicoilltd@gmail.com,31-03-20,31-03-20
L15141MH1982PLC267176,SAGAR SOYA PRODUCTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,27-09-82,Maharashtra,100000000,2925840,15141,Manufacture of food products and beverages,"32, Vyapar Bhavan, 49 P.D. Mello Road    Mumbai , Mumbai City Unclassified MH 400009",RoC-Mumbai,compliance.ssp@gmail.com,31-03-20,31-03-20
L15142MH1985PLC037493,CIAN AGRO INDUSTRIES & INFRASTRUCTURELIMITED,Active,Public,Company limited by Shares,Non-govt company,13-09-85,Maharashtra,447500000,279858950,15142,Manufacture of food products and beverages,"4th Floor, Gupta Tower, Science College Road, Civil Lines,    Nagpur , Nagpur Unclassified MH 440001",RoC-Mumbai,info@cianindustries.com,31-03-20,31-03-19
L15142MH1994PLC076009,MALU PAPER MILLS LIMITED,Active,Public,Company limited by Shares,Non-govt company,11-01-94,Maharashtra,200000000,170592500,15142,Manufacture of food products and beverages,"HEERA PLAZA, 4TH FLOOR, NEAR TELEPHONE EXCHANGE,    NAGPUR ,   Unclassified MH 440008",RoC-Mumbai,contacts@malupaper.com,31-03-20,31-03-20
L15142MH2001PLC133714,RAJ OIL MILLS LIMITED,Active,Public,Company limited by Shares,Non-govt company,17-10-01,Maharashtra,1600000000,149886840,15142,Manufacture of food products and beverages," 224-230  BELLASIS ROAD      MUMBAI ,   Unclassified MH 400008",RoC-Mumbai,cs@rajoilmillsltd.com,31-03-20,31-03-20
L15142MH2005PLC243687,MANORAMA INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,09-08-05,Maharashtra,300000000,111279100,15142,Manufacture of food products and beverages,"OFFICE NO. 403, 4TH FLOOR, MIDAS, SAHAR PLAZA, ANDHERI KURLA ROAD, ANDHERI EAST    MUMBAI , Mumbai City Unclassified MH 400059",RoC-Mumbai,cs@manoramagroup.co.in,31-03-20,31-03-20
