CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
L11101MH1979PLC021302,DOLPHIN OFFSHORE ENTERPRISES (INDIA)LIMITED,Active,Public,Company limited by Shares,Non-govt company,17-05-79,Maharashtra,250000000,167725180,11101,"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","1001, RAHEJA CENTRE, 214, NARIMAN POINT,    MUMBAI ,   Unclassified MH 400021",RoC-Mumbai,v.surendran@dolphinoffshore.com,31-03-18,31-03-18
L11101MH2006PLC163934,CAIRN INDIA LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,21-08-06,Maharashtra,22500000000,18758915630,11101,"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","1st Floor, Wing C, Unit No. 103, Wing-2 Corporate Avenue, Chakala, Andheri (East)    Mumbai , Mumbai City Unclassified MH 400093",RoC-Mumbai,neerja.sharma@cairnindia.com,31-03-16,31-03-16
L11103MH1985PLC035826,TRINITY TRADELINK LIMITED,Active,Public,Company limited by Shares,Non-govt company,30-03-85,Maharashtra,500000000,262558050,11103,"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","16 & 17, Washington Plaza, Dispensary Road Goregaon (W)    MUMBAI , Mumbai City Unclassified MH 400062",RoC-Mumbai,info@trinitytrade.in,31-03-17,31-03-17
L11200MH2005PLC154793,GOL OFFSHORE LIMITED,Active,Public,Company limited by Shares,Non-govt company,14-07-05,Maharashtra,2000000000,788723740,11200,"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","ENERGY HOUSE, 81, D.N. ROAD,    MUMBAI ,   Unclassified MH 400001",RoC-Mumbai,varika_rastogi@goloffshore.com,31-03-16,31-03-16
L12235MH1975PLC018481,GARWARE MARINE INDUSTRIES LIMITED,Active,Public,Company limited by Shares,Non-govt company,08-08-75,Maharashtra,100000000,57661840,12235,Mining of uranium and thorium ores,"102, Buildarch  Wisteria 1st Floor, Ram Maruti Road, Dadar (W)    Mumbai , Mumbai City Unclassified MH 400028",RoC-Mumbai,garware.marine@gmail.com,31-03-20,31-03-20
L12801PN1963PLC149701,TERRUZZI FERCALX INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,20-12-63,Maharashtra,110000000,95000000,12801,Mining of uranium and thorium ores,"104,105 & 106 Trade Centre, First Floor North Main Road,Koregaon Park    Pune , Pune Unclassified MH 411001",RoC-Pune,cs.vel@vulcanengineers.com,31-12-13,31-12-13
L13100MH1960PLC011601,ACROW INDIA LIMITED,Active,Public,Company limited by Shares,Non-govt company,10-03-60,Maharashtra,10000000,6400000,13100,Mining of metal ores,"AT & POST RAVALGAONPIN CODE 423 108 TALUKA MALEGAON DIST NASIK    NASHIK ,   Unclassified MH 423108",RoC-Mumbai,cs.acrow@ravalgaon.in,31-03-20,31-03-20
L13209MH1960PLC011794,INDIAN BRIGHT STEEL CO LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-08-60,Maharashtra,12500000,10000000,13209,Mining of metal ores,"""AURUM PLATZ"", C.S. NO. 406, MALABAR HILL DIVISION 'D' WARD, B.N. C ROSS LANE, PANDITA RAMABAI MARG,    MUMBAI , Mumbai City Unclassified MH 400007",RoC-Mumbai,indianbrightsteel@gmail.com,31-03-20,31-03-20
L13209MH1965PLC291394,VEDANTA LIMITED,Active,Public,Company limited by Shares,Non-govt company,25-06-65,Maharashtra,74120100000,3717504871,13209,Mining of metal ores,"1st Floor, C wing, Unit 103, Corporate Avenue Atul Projects, Chakala, Andheri (East)    Mumbai , Mumbai City Unclassified MH 400093",RoC-Mumbai,comp.sect@vedanta.co.in,31-03-20,31-03-20
L13209PN1988PLC046418,RAS EXTRUSTIONS LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,07-03-88,Maharashtra,150000000,20450000,13209,Mining of metal ores,"36 K M STONE, WAKI KHURD, PUNE NASIK HIGHWAY, CHAKAN,    PUNE ,   Unclassified MH 410501",RoC-Pune,ggs1957@gmail.com,30-09-10,30-09-10
L11101MH1979PLC021303,DOLPHIN OFFSHORE ENTERPRISES (INDIA)LIMITED,Active,Public,Company limited by Shares,Non-govt company,17-05-80,Maharashtra,250000001,167725181,11102,"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","1001, RAHEJA CENTRE, 214, NARIMAN POINT,    MUMBAI ,   Unclassified MH 400022",RoC-Mumbai,v.surendran@dolphinoffshore.com,31-03-19,31-03-19
L11101MH2006PLC163935,CAIRN INDIA LIMITED,Amalgamated,Public,Company limited by Shares,Non-govt company,21-08-07,Maharashtra,22500000001,18758915631,11102,"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying","1st Floor, Wing C, Unit No. 103, Wing-2 Corporate Avenue, Chakala, Andheri (East)    Mumbai , Mumbai City Unclassified MH 400094",RoC-Mumbai,neerja.sharma@cairnindia.com,31-03-17,31-03-17
